Job,Company,Description,Link
After Sales Executive - dooDeco,"SCG Living and Housing Solution Co., Ltd.","รายละเอียดงาน
รับผิดชอบงานรับประกันคุณภาพหลังการขาย
ประสานงานรับข้อมูลงานแจ้งซ่อมจากลูกค้า ตรวจสอบเงื่อนไขwarranty
นัดหมายทีมเข้าตรวจสอบข้อบกพร่องเพื่อหาสาเหตุและประเมินเวลาแก้ไขงาน
ประสานงานกับผู้รับเหมาและหน่วยงานที่เกี่ยวข้องเข้าดำเนินการแก้ไขงาน
วิเคราะห์ปัญหา และแนวทางการแก้ไขงานซ่อมอย่างเป็นระบบ
ติดตามใบเสนอราคาจากผู่รับเหมา ใหหน่วยงานภายในและนำเสนอราคราต่อลูกค้า
ติดตามความคืบหน้าของงานซ่อมจบจบ
มีทักษะการพูดคุยกับลูกค้าเพื่อให้ลูกค้าเกิดความพึงพอใจ
ดูแลจัดการเอกสารการวางบิลของผู้รับเหมา",https://th.jobsdb.com/th/job/78438040
PROCUREMENT (INDUSTRIAL) STAFF,"Mitsubishi Motors (Thailand) Co., Ltd.","job description
■ purchase goods/service in responsibility of industrial commodity with achieve cost saving target and improvement job
■ suppliers sourcing, rfq, price comparative with quality and negotiation
■ implement cost reduction activities by negotiate , re-sourcing , bundling, etc.
■ issue sr / po and related document for ordering confirmation include delivery follow up
■ contract arrangement to support project jobs and asset order
■ coordination with user in other departments as in charge buyer and support to fulfill user requirement
■ collect data & information into dms completely
■ suggest and consult in part of purchasing process as in-charge
■ summary report of monthly order
■ support job assignment from management
■ support activity and comply company policy",https://th.jobsdb.com/th/job/78426482
Asst. Manager Production Engineer,Hitachi Astemo Chonburi Auto Parts Ltd.,"job description
control new model event and check condition machining process and cnc lathe and execute continuous.
improvement projects to improve production processes, equipment, and tooling.
conduct engineering investigations supporting rapid problem solving of quality escapes and implementation of corrective action.
kaizen improving activity, 5s and loss (muda) reduced in utilities system and promoting energy saving.
control schedule new and existing products in accordance with relevant engineering drawing and standard",https://th.jobsdb.com/th/job/78458982
Ocha Telesales - Contractor (ShopeeFood),"Shopee (Thailand) Co., Ltd.","job description:
contact potential or existing customers to pitch/inform about a product or service and close sales (mainly ocha’s products)
contact customers to understand customer requirements and collect feedback about the product and summarize data as reports for business improvements
coordinate with related teams to get the required information for sales
support team by initiating and co-developing communication materials e.g. static and vdo content
keep records of calls and sales in an accurate manner and note useful information
perform any other duties assigned from time to time
actively monitor merchant sentiment and conversations on own and competitors' groups
achieve monthly kpi in sales performance to receive incentive by performance tier
have experience in pos (point-of-sales) industry is a plus",https://th.jobsdb.com/th/job/78440354
Process Engineer,"Mloptic (Thailand) Co., Ltd.","responsibilities
• main contact window for all requirements of existing and new product models
• conduct new model trail run and readiness follow up
• internal system/lens assembly set up for new model
• build plan progress follow up and open issue finding
• work across the full product development cycle, from concept inception to shipping product
• attend customer regular meeting and follow up customer requirement
• maintain the project status, timeline, budget, bill of materials (bom) and engineering change (ecn) administration; prepare wi, control plan, pfmea etc.
• prepare quotation during rfq stage
• coordinate with manufacturing team to ensure the design of the manufacturing facilities for pilot production; layout and equipment, tools, materials etc. are in place
• new products transfer from r&d to pe team
• international travel required from time to time, depending on project scope. (usa, china, and europe)
• other jobs assignment from npi supervisor",https://th.jobsdb.com/th/job/78444127
Maintenance Engineer/วิศวกรซ่อมบำรุง,"NGK CERAMICS (THAILAND) CO., LTD.","duties & responsibilities
maintenance of machine and production equipment (including utility equipment)
create and management documents related to maintenance work.
create machine trouble report and countermeasure if necessary.
create and proceed preventive-maintenance, regular-maintenance, support voluntary maintenance.
manage and work in cooperation with team members for achieving target.
manage, supervise and monitoring vendors regarding the safety issues, performance quality and schedule.
keep in compliance with all related regulations (e.g. factory act, environment, safety)
work in a shift rotation follow the company calendar, overtime and holiday if necessary.
any assignment by superior which related to maintenance job.",https://th.jobsdb.com/th/job/78428084
Operations Strategic Project (SPX Express),"Shopee (Thailand) Co., Ltd.","job description
initiate new ideas to develop strategic projects for logistic operation to minimize cost and ensure the smooth operation
analyze all options, solutions, and impacts of initiatives
monitor performance and provide solutions for issues found
act as swat team during critical moment",https://th.jobsdb.com/th/job/78413746
Service Attendant,"Canvas Restaurant Co., Ltd.",,https://th.jobsdb.com/th/job/78462461
Administrator/ เจ้าหน้าที่ธุรการทั่วไป,"Benefit One (Thailand) Co., Ltd.","responsibilities
• responsible to general administration jobs and report directly to management.
• compiling monthly administration reports.
• supporting the sales department with other administrative tasks as assigned.
• other related duties as assigned by the company management.",https://th.jobsdb.com/th/job/78459343
Mechanical/ Electrical/BIM Engineer (Junior and Senior),"Acter Technology Co., Ltd.",responsibilities:,https://th.jobsdb.com/th/job/78464081
Admin Officer,Mercator Medical (Thailand) Ltd.,"essential duties and responsibilities
responsible for all administration works and boi. manage all management affairs.supervise and manage the movement of company’ s driver/messenger and admin operator.
keep an important and legal company documents.
be in contact with government bodies or manage all government affairs and boi.
other works as assign by management.",https://th.jobsdb.com/th/job/78457654
Purchasing Officer (Domestic)  URGENT!!,"Mosaic Eins Co., Ltd.","responsibilities:
coordinate communication between the sales, production, and service departments with suppliers.
request detailed information from suppliers and study it thoroughly to coordinate with the purchasing requesters.
source new suppliers.
negotiate prices and terms.
prepare and process purchasing documents and orders.
coordinate and monitor the delivery of goods from suppliers.
work closely with the accounting and finance department for payment processing and credit term requests.
follow up with suppliers in cases where products have issues or do not meet the agreed-upon conditions.
coordinate with the technical department if products have problems or require adjustments.
evaluate product sales to propose stock management strategies.
perform other tasks as assigned by the supervisor.",https://th.jobsdb.com/th/job/78442002
Sales and Customer Support Officer (เจ้าหน้าที่สนับสนุนงานขายและบริการลูกค้า),"Bangkok Synthetics Co., Ltd.","job responsibilities:
prepare various sales reports to support sales analysis and for use in meetings.
distribute daily shipping schedules to relevant departments, such as finance, shipping, quality assurance, and product warehouse, to ensure accuracy and consistency.
process and create sales orders for domestic sales and provide accurate and timely information to relevant parties, such as finance and accounting.
open sales orders by receiving purchase orders from customers, verifying details (grade, price, packaging in relation to transportation type, delivery date, and other terms) according to sales conditions, ensuring that relevant departments can proceed with the order.
follow up on customer payments.
process export-related expenses in the i-procurement system.
coordinate with relevant departments to request product samples for customers as instructed by the sales staff.
coordinate with customers and relevant departments regarding any changes to delivery terms, such as delivery date, delivery location, or packaging.
report and closely monitor sales volumes to ensure alignment with the sales plan, both under normal circumstances and during periods of limited productavailability.
----------------------------------------------------------------------------",https://th.jobsdb.com/th/job/78458065
"Process Engineer, Product Engineer - Wood Furniture","P. J. Chonburi Parawood Co., Ltd.","key responsibilities for this position:
improve existing manufacturing methods to increase efficiency and improve quality
to implement improvements to processes and methods.
control and follow operation process and work instruction.
analyze defects and solve problems about quality and production yield problem.
to perform the manufacturing engineering function for special projects, production lines, cost reduction, and continuous improvement through analytical approach.
develops and implements optimal, cost-effective manufacturing processes and methods in accordance with product specifications, safety requirements and quality standards.",https://th.jobsdb.com/th/job/78454367
Finance Officer (TAX),Bangchak Corporation Public Company Limited,"job description:
ดำเนินการนำส่งภาษีสรรพสามิต ภาษีอบจ ภาษีที่ดินสิ่งปลูกสร้างภาษีป้าย
จัดทำรายงานเกี่ยวกับภาษีที่รับผิดชอบ
ติดตามและรวบรวมข้อกำหนดของกฎหมายภาษีอากรประเภทต่างๆ รวมทั้งสิทธิ ประโยชน์ทางภาษี
งานอื่นๆ ที่ได้รับมอบหมาย",https://th.jobsdb.com/th/job/78455858
Teacher Assistant (ผู้ช่วยครู),Thai-Chinese International School,"performance and responsibilities :
collaborating with the lead teacher to manage the class schedule.
assisting teachers in preparing lessons by gathering materials and setting up equipment.
reviewing lesson content with students one-on-one or in small groups.
maintaining a safe and clean classroom environment.
supervising students during non-classroom activities, such as between classes, lunchtime, and field trips.
working with lead teachers to identify student issues and suggest solutions.
recording student progress and keeping parents updated.
aiding lead teachers in developing lesson plans.
adhering to government, school, and classroom policies and regulations.
participating in training sessions, parent-teacher conferences, and staff meetings.
perform other duties as assigned by the thai director, head of division, and hos.
adhere to all tcis school board policies and procedures.
coordinate with other school staff to support school events and activities.
may be required to work extended hours during peak times (e.g., start of the school year, fundraising events).",https://th.jobsdb.com/th/job/78437891
Sales Coordinator,"DIA Merchandise Co.,Ltd.",,https://th.jobsdb.com/th/job/78454629
Purchasing Officer,"Systems Dot Com Co., Ltd.","รายละเอียดงาน
จัดหาราคาสเปกให้กับหน่วยงานภายในที่ร้องขอ
จัดทำการเปรียบเทียบราคาและเจรจาต่อรองด้านราคา คุณภาพ ระยะเวลาการจัดส่ง รอบการชำระเงิน
ดำเนินการประสานงานสั่งซื้อ เปิด po ตามเงื่อนไขที่ตกลงกับ supplier และ ภายในองค์กรที่เกี่ยวข้อง
ติดตาม วางแผน การนำสินค้าเข้าและแจ้งกับหน่วยงานที่เกี่ยวข้อง ตามเผนที่วางไว้
ดำเนินงานประสานงานกับด้านการชำระเงินกับ บัญชี+สต๊อกเรืองเอกสารรับเข้า/นำเข้า
ดำเนินการเเจ้งเคลมกับ supplier กรณีของเสียหาย ได้ไม่ครบถ้วน หรือไม่ตรงสเปก
จัดทำรายงานตามที่ได้รับมอบหมาย",https://th.jobsdb.com/th/job/78453387
Cybersecurity & Technology Risk Lead (Shopee),"Shopee (Thailand) Co., Ltd.","job description:
effectively work with a cross-functional teams to drive compliance to local it regulatory expectations by understanding the regulatory requirements, establishing policies and processes & engagement with business, operations, ciso, it teams, compliance, local management
accountable for the implementation of cyber security and information technology risk policies, technology and tools, and governance processes to create solutions for minimizing losses from cyber security issues, failed internal processes, inadequate controls, emerging risks and regulatory breaches.
responsible for doing it risk assessment, it risk compliance related to new business products.
manage audit/ regulatory reviews including coordination, communications, and required actions with internal auditors, external auditors, regulators, and internal stakeholders as appropriate.",https://th.jobsdb.com/th/job/78458799
Route Monitoring Officer (SPX Express) (Contract),"Shopee (Thailand) Co., Ltd.","job description:
case monitoring:
track and monitor cases raised by the customer service team.
send timely reminders to route planners to address and respond to open cases.
ensure that all cases are resolved in a satisfactory manner.
quality assurance:
regularly assess and verify the quality of work delivered by drivers.
evaluate the effectiveness of route planners in responding to feedback and resolving issues.
consecutive missed pick-up follow-up:
review reports of missed pick-up cases
notify route planners about unresolved cases and ensure they are addressed promptly.
daily communication:
send daily sms notifications to sellers with a summary of pick-up information.
ensure sms content is accurate and sent in a timely manner.
feedback review:
analyze feedback received directly from sellers.
determine the root cause of each feedback, distinguishing whether issues are attributable to route planners or drivers.
implement corrective actions based on feedback analysis.",https://th.jobsdb.com/th/job/78410637
Pets Import - Export Customer Services/ลูกค้าสัมพันธ์,"United Relocations (Thailand) Co., Ltd","responsibilities:
interacts with customers via phone, email, online chat, in person, social media
resolves customer problems and complaints
answers any questions a customer has
handles inquiries for import and export
keeps records on file
communicates and coordinates effectively with parties involve in shipping process
follows company process accurately and efficiently
updates database
handles onsite jobs when necessary
have knowledges in used personal effects will be advantaged
pet lover is advantage",https://th.jobsdb.com/th/job/78437653
Sales order management supervisor (6 months contract),FrieslandCampina (Thailand) PCL.,,https://th.jobsdb.com/th/job/78461164
Flight Operations Engineer - Cabin,Airbus Flight Operations Services Ltd.,"duties & responsibilities
this position is responsible for flight operations support activities including, but not limited to:
operational standards:
author relevant flight operations manuals according to the flight operational standards defined by stl
update relevant flight operations manuals according to aircraft definition, operational feedbacks and requests from the customers, authorities/agencies or internals
manage aircraft configuration to ensure coverage of individual aircraft definition in relevant flight operations manuals
operational support to customers:
ensure that all flight operations concerns and needs raised by the customers are well assessed and addressed within the defined time scale",https://th.jobsdb.com/th/job/78407705
"HRBP, SCG Roofing",The Siam Cement Public Company Limited (SCG),"หน้าที่ความรับผิดชอบ:
วางแผนและดำเนินการในด้านทรัพยากรบุคคล รวมถึงแผนการสรรหาบุคลากร เพื่อให้ตรงกับแผนกลยุทธ์ขององค์กร
design โปรแกรมการฝึกอบรมและพัฒนาบุคลากรในองค์กร
ประเมินความต้องการฝึกอบรมและพัฒนาทักษะของพนักงานให้ตอบโจทย์ทิศทางธุรกิจ
ออกแบบและจัดทำเรื่องบริหารกระบวนการประเมินผลการทำงานของพนักงาน
การบริหารจัดการความสัมพันธ์ภายในองค์กร (hr relations)
ให้คำปรึกษาด้านกฎหมายแรงงานและนโยบายขององค์กร
รวบรวมและวิเคราะห์ข้อมูลที่เกี่ยวข้องกับทรัพยากรบุคคล",https://th.jobsdb.com/th/job/78464774
ฝ่ายขายธุรกิจการบิน,"ASM Security Management Co., Ltd.",,https://th.jobsdb.com/th/job/78439816
"Assistant Manager, Inventory Control","NISSAN MOTOR (THAILAND) CO., LTD.","job description
spare parts providing by ordering and control shipment on the target with the appropriate inventory level.
inventory analysis and improvement
spare parts providing by ordering and control shipment on the target with the appropriate inventory level.
inventory analysis and improvement
analyze and feedback the appropriated stock level to ordering team
prepare & measurement delivery for campaign and event list demand.
monitor abnormal demand and waring ordering team to add or reduce stock.
monitor & improve supplier delivery performance.
preparing & measurement delivery part for new model launching.
analyze and liquidation obsolete parts.
monitor stock level and make decision to call or cancel when stock risk to be shortage or over.
monitor & follow up back order & vor.",https://th.jobsdb.com/th/job/78460310
Secondary School Administrative Assistant,Bangkok Patana School,"key responsibilities
acts as the first point of contact for all enquiries and phone calls for the secondary school to ensure that queries are dealt with promptly and professionally.
acts as a key point of contact for student enquiries to ensure that any problem is dealt with effectively and appropriate assistance provided where required.
provides comprehensive secretarial support to the secondary school office including incoming and outgoing correspondence, telephone messages, diary management, meeting scheduling and minute taking, filing and preparation of correspondence and documentation.
liaises with relevant persons and departments to arrange meetings between parents and teachers and prepares documents and materials required for such meetings.
ensures igcse certificates and examination timetable for year 11 students are properly distributed and certificate copies filed in students’ folders.
prepares clearance forms for exiting students and ensures that the students have no overdue books, musical instruments, sporting equipments before issuing such forms.
responsible for the annual collection of padlocks at the end of the academic year and the allocation of padlocks and lockers for the start of the new academic year.
maintains register box for class tutors, students, or parents c/o students for all messages.
maintains record of students’ lateness; gets late students to sign in the form specify arrive time and mean of arrival; amends students’ status to be present accordingly.
assists parents with any request such as in passing message or passing left behind items for their children.
arranges appointment between parents and teachers as requested.
prepares files for new students by retrieving information from the system as well as from principal of students welfare; maintains such files in alphabetical order and by year for reference.
assists secondary office manager in preparing grades report making sure all grades from the teachers are entered in the system.
assists the key stage 4 curriculum and assessment leader in relation to igcse documents, etc.
event booking for key stage 4 functions and exam room booking for igcse.
performs any other duty as may be assigned and agreed with the supervisor.",https://th.jobsdb.com/th/job/78430048
วิศวกรเครื่องกล,"Federal Electric Corp., Ltd.","รายละเอียดงาน
1. งานซ่อมบำรุงเครื่องจักรระบบนิวเมติกส์,ระบบไฮโดรลิกส์ รวมถึงระบบ mechanical ต่างๆ
2. วิเคราะห์งานเพื่อพัฒนาปรับปรุงประสิทธิภาพเครื่องจักร ยืดอายุการใช้งานเครื่องจักร
3. วางแผนซ่อมบำรุงโครงสร้างเครื่องจักรกล",https://th.jobsdb.com/th/job/78441773
"Operations Engineer (FOC Engineer) - TrueIDC (Bangna Site, KM26)",บริษัท แอสเซนด์ กรุ๊ป จำกัด,"job descriptions :
24/7 monitoring :
monitor the data center's infrastructure systems, including power distribution, cooling systems, environmental controls, fire suppression, and security systems, using monitoring tools and systems.
emergency response :
respond promptly to alerts and alarms generated by monitoring systems, troubleshoot issues, and escalate to appropriate personnel when necessary.
incident management :
manage and document incidents, outages, and service disruptions according to established procedures. coordinate with internal teams and external vendors to resolve issues efficiently and minimize downtime.
routine inspections :
conduct regular inspections of equipment, facilities, and infrastructure components to ensure they are operating within specified parameters and in compliance with safety and regulatory standards.
security monitoring :
monitor access control systems, surveillance cameras, and other security measures to ensure the physical security of the data center facility.
documentation :
maintain accurate records of maintenance activities, incident reports, and equipment inventory. update documentation as changes are made to the facility or its infrastructure.
emergency response :
respond to emergencies such as power outages, equipment failures, and environmental hazards according to established protocols. take appropriate actions to mitigate risks and minimize impact on data center operations.
collaboration :
collaborate with other teams, including network operations, engineering, and customer support, to address operational issues and optimize the performance of the data center environment.
customer support services :
execute relevant smart-hand or on-site actions requested by the applicable customers, including liaising with customers in handling incident and emergency situations to ensure proper update and smooth coordination with the customers.",https://th.jobsdb.com/th/job/78440967
QA/QC Instrumentation Technologist,"NatureWorks Asia Pacific Co., Ltd.","key responsibilities:
technology execution
generates and analyzes data from well-established methodologies under standard conditions.
generates and interprets technical results and documents information.
able to calibrate and troubleshoot problems and perform preventive maintenance on benchtop and in-line analytical equipment and contact with supplier to get the best solution for troubleshooting and preventive maintenance.
maintain calibration lab instrument plan and pm plan and summary the calibration report and trends.
able to identify instrumentation variations and offer solutions.
able to carry-out basic instrument or method validations with support of specialist/supervisor
follows template or standard procedure to review and present results.
applies existing techniques and operating procedures, improves efficiency of familiar tasks when challenged, and suggests improvements to align with standards analyses
ensure stable of the production process to achieve department goals and kpi.
work upon supervisor’s assignments or any other job duties as assign.
technology leadership
completes specifically assigned tasks accurately and on time, including some instrument maintenance, drawing on detailed instructions or previous experience with similar tasks.
able to explain principles, scientific data, and process information associated with their job function, shift responsibilities, and area of expertise. facilitate local training of qa/qc lab technicians for their area of expertise. may be seen as a lead on-the-job trainer for an area.
independently solve moderately complex issues with minimal supervision, while escalating more complex issues to appropriate staff.
provide process improvement support, specialized testing, training, audit systems, analyze data, identify trends, troubleshoot, corrective action and communication regarding process data and final product.
able to recognize trends and take appropriate actions to correct and resolve issues. understand, execute, and maintain systems to ensure quality concerns are met. identifying areas of opportunity for quality/food safety/safety risks and work across teams to address.
environmental, health & safety leadership
operates safely within natureworks policies, procedures and governmental regulations and fully participates in and champions natureworks environmental, health & safety (eh&s) programs
ensures the eh&s programs are being followed and provides a safe working environment to our employees, customers, and contractors.
accountable for building/role model a strong safety culture and actively pursues it on a daily basis; identifies unsafe behaviors and conditions and intervenes to mitigate incidents.
provides leadership in promoting environmental, safety and health initiatives through positive reinforcement of safe behavior.",https://th.jobsdb.com/th/job/78443734
Admin Engineer / เจ้าหน้าที่ธุรการฝ่ายวิศวกรรม,Savills (Thailand) Limited,"responsibilities:
project management:
develop and manage project schedules, ensuring timely completion of milestones and deliverables.
monitor project budgets and expenditures, preparing financial reports and forecasts.
coordinate resource allocation, including equipment, materials, and personnel.
communication and coordination:
act as a liaison between engineering teams, management, and external stakeholders.
organize and facilitate meetings, prepare agendas, and document meeting minutes.
ensure clear and effective communication of project updates, changes, and requirements.
documentation and reporting:
prepare and maintain project documentation, including reports, plans, and technical specifications.
track and report on project progress, identifying potential issues and recommending solutions.
ensure all documentation complies with industry standards and regulatory requirements.
compliance and quality assurance:
monitor adherence to industry standards, regulations, and company policies.
assist in conducting audits and reviews to ensure compliance with safety and quality standards.
address compliance issues and implement corrective actions as needed.
resource management:
oversee the procurement and management of project resources, including tools, equipment, and materials.
collaborate with suppliers and vendors to negotiate contracts and manage deliveries.
optimize resource utilization to reduce costs and improve project efficiency.
strategic planning and process improvement:
support strategic planning efforts by analyzing project performance and identifying areas for improvement.
recommend and implement process enhancements to increase efficiency and effectiveness.",https://th.jobsdb.com/th/job/78426338
PROCUREMENT (CHASSIS PARTS) - ENGINEER,"Mitsubishi Motors (Thailand) Co., Ltd.","job description
■ sourcing and supplier selection.
■ process oem part & service parts purchasing.
■ verify, analyze and negotiate oem price.
■ follow and update price with the supplier based on latest lcpo information.
■ issue oem and service part price adjustment approval request to get approval from management.
■ support and cooperate with internal activities such as cost reduction activities, 5s, safety activities.
■ prepare and issue loi and appendix.
■ support to process va/ve proposal sheet.
■ support and cooperate with activities of mitsubishi motors group & alliance group.
■ keep on company regulation and policy.
■ follow and achieve the target of the department and company.",https://th.jobsdb.com/th/job/78425174
Social Media Admin,GMM Grammy Public Company Limited,"job responsibilities:
• plan and manage the scheduling of posts.
• check the accuracy of text, sentence structure, and overall content quality.
• monitor assigned accounts and create engagement to build a community.
• create reports, gather data, compile statistics, and analyze information for further use.
• observe and analyze various data and account insights to provide recommendations to the team for continuously improving content appeal.",https://th.jobsdb.com/th/job/78459295
Content Creator,OG Retail Ltd.,"job description
content creator should possess a combination of writing skills, creativity, technical expertise,
and digital marketing knowledge to create compelling and effective content that drives
engagement, traffic, and conversions.
responsibilities:
1. content planning: strategize and plan content according to audience, platform, and
objectives.
2. content creation: develop engaging and relevant content that aligns with brand voice
and messaging.
3. content optimization: optimize content for search engines, algorithms, and audience
engagement.
4. content publishing: schedule and publish content across relevant platforms, adhering to
posting schedules and best practices.
5. content promotion: promote content through appropriate channels to maximize reach
and engagement.
6. performance tracking: monitor and analyze content performance metrics to inform future
content strategy.
7. copywriting: crafting compelling copy for different platforms (blogs, social media,
websites).
8. market research: understanding target audience and industry trends.
procedures:
content planning:
• research audience demographics, interests, and preferences.
• develop content calendar and strategy based on research findings and business objectives.
• collaborate with relevant stakeholders (e.g., marketing, social media) to align content with
overall marketing strategy.
content creation:
• generate content ideas based on the content calendar and strategic objectives.
• create content assets (e.g., articles, videos, graphics) according to brand guidelines and
best practices.
• review and edit content for accuracy, clarity, and consistency.
content optimization:
• conduct keyword research to inform content topics and titles.
• optimize content for relevant keywords and phrases without compromising quality or
readability.
• incorporate multimedia elements (e.g., images, videos) to enhance content appeal and
engagement.
content publishing:
• schedule content publication dates and times using content management systems or
scheduling tools.
• ensure content is formatted correctly for each platform (e.g., social media, blog, website).
• monitor content publishing queues to prevent scheduling conflicts or overlaps.
content promotion:
• share content across appropriate channels (e.g., social media platforms, email
newsletters).
• engage with audience comments, questions, and feedback in a timely and professional
manner.
• collaborate with influencers, partners, or affiliates to amplify content reach and impact.
performance tracking:
• monitor content performance metrics (e.g., views, likes, shares, conversions) using
analytics tools.
• analyze data to identify trends, insights, and opportunities for improvement.
• adjust content strategy and tactics based on performance analysis and feedback.",https://th.jobsdb.com/th/job/78441638
Production Senior Engineer,"Mazda Powertrain Manufacturing (Thailand) Co., Ltd.","job descriptions
ordering and control budget of monthly
follow up and summary quality activity and cause for change
contact supplier for improve in process
monitor and improve higher quality efficiency in process
control instruction of engineering change
provide report of monthly quality meeting
provide budget yearly budget plan depend on production volume
prepare tooling in production process and model change follow from planning
give advice tooling to member about production [process / kaizen & cost / quality]
other duties assigned by superior",https://th.jobsdb.com/th/job/78459590
Reservations Officer,Elevate DMC,,https://th.jobsdb.com/th/job/78439072
Graphic Designer,"ALL IN DIGITAL CO., LTD.","responsibilities include:
designing official stores, product page templates, campaign pages, and banners on platforms like lazada and shopee
creating store-feed posts, facebook ads, and more
collaborating with the kam team on content and campaign requirements
providing feedback on team designs and developing best practices
maintaining work in our content repository
ensuring on-time, high-quality content delivery",https://th.jobsdb.com/th/job/77052136
